02/06/2021,Andaman and Nicobar Islands,110323,110323,15191,,125514,19072,60581
03/06/2021,Andaman and Nicobar Islands,111001,111001,15199,,126200,19638,60670
04/06/2021,Andaman and Nicobar Islands,111506,111506,15207,,126713,20079,60724
05/06/2021,Andaman and Nicobar Islands,111971,111971,15223,0,127194,20476,60777
02/04/2021,Madhya Pradesh,3346831,3346831,525096,328095,3543832,465988,1009384
09/04/2021,Madhya Pradesh,4770269,4770269,591710,625339,4736640,477375,2011710
10/04/2021,Madhya Pradesh,4866494,4866494,598431,639725,4825200,477955,2082486
11/04/2021,Madhya Pradesh,5222120,5222120,615029,652277,5184872,479095,2338481
16/03/2021,Maharashtra,2316957,2316957,468500,100256,2685201,719923,798647
17/03/2021,Maharashtra,3229723,3229723,500240,181565,3548398,740032,972732
28/03/2021,Maharashtra,5183711,5183711,718554,712396,5189869,936994,1532670